disease.state,type,code
stroke,ICD9,436
stroke,ICD9,433.01
stroke,ICD9,433.11
stroke,ICD9,433.21
stroke,ICD9,433.81
stroke,ICD9,434
stroke,ICD9,434.01
stroke,ICD9,434.11
stroke,ICD9,434.91
tia,CCS,112
ckd_12,ICD9,585.1
ckd_12,ICD9,585.2
ckd_3,ICD9,585.3
ckd_45,ICD9,585.4
ckd_45,ICD9,585.9
esrd,ICD9,585.5
esrd,ICD9,585.6
esrd,ICD9,V45.11
hypertension,CCS,98
hypertension,CCS,99
diabetes,CCS,49
diabetes,CCS,50
cad,CCS,100
cad,CCS,101
heart.failure,CCS,108
hyperlipid,CCS,53
bleed.major,ICD9,430
bleed.major,ICD9,431
bleed.major,ICD9,432.1
bleed.major,ICD9,432.9
bleed.major,ICD9,568.81
bleed.major,ICD9,719.16
bleed.major,ICD9,360.43
bleed.minor,CCS,153
bleed.minor,ICD9,432
bleed.minor,ICD9,459
bleed.minor,ICD9,423
bleed.minor,ICD9,599.7
bleed.minor,ICD9,719.1
bleed.minor,ICD9,719.11
bleed.minor,ICD9,719.12
bleed.minor,ICD9,719.13
bleed.minor,ICD9,719.14
bleed.minor,ICD9,719.15
bleed.minor,ICD9,719.17
bleed.minor,ICD9,719.18
bleed.minor,ICD9,719.19
bleed.minor,ICD9,784.7
bleed.minor,ICD9,784.8
bleed.minor,ICD9,786.3
bleed.cns,ICD9,430
bleed.cns,ICD9,431
bleed.cns,ICD9,432.1
bleed.cns,ICD9,432.9
bleed.cns,ICD9,432
bleed.gi,CCS,153
